Index,User Id,First Name,Last Name,Sex,Email,Phone,Date of birth,Job Title,Age,Salary
1,1001,Shelby,Terrell,Male,elijah57@example.net,001-084-906-7849x73518,10/26/1945,Games developer,20,20000
2,1002,Phillip,Summers,Female,bethany14@example.com,214.112.6044x4913,,Phytotherapist,22,23000
3,1003,Kristine,Travis,Male,bthompson@example.com,277.609.7938,7/2/1992,Homeopath,24,26000
4,1004,Yesenia,Martinez,Male,kaitlinkaiser@example.com,584.094.6111,8/3/2017,Market researcher,26,29000
5,1005,Lori,Todd,Male,buchananmanuel@example.net,689-207-3558x7233,,Veterinary surgeon,28,32000
6,1006,Erin,Day,Male,,001-171-649-9856x5553,10/28/2015,Waste management officer,30,35000
7,1007,Katherine,Buck,Female,conniecowan@example.com,+1-773-151-6685x49162,1/22/1989,Intelligence analyst,32,38000
8,1008,Ricardo,Hinton,Male,wyattbishop@example.com,001-447-699-7998x88612,3/26/1924,Hydrogeologist,34,41000
9,1009,Dave,Farrell,Male,nmccann@example.net,603-428-2429x27392,10/6/2018,Lawyer,36,44000
10,1010,Isaiah,Downs,Male,virginiaterrell@example.org,+1-511-372-1544x8206,9/20/1964,"Engineer, site",38,47000
11,1011,Sheila,Ross,Female,huangcathy@example.com,895.881.4746,3/20/2008,Advertising account executive,40,50000
12,1012,Stacy,Newton,Male,rayleroy@example.org,710.673.3213x80335,10/20/1980,Warden/ranger,42,53000
13,1013,Mandy,Blake,Male,jefferynoble@example.org,(992)466-1305x4947,12/8/2007,"Scientist, clinical (histocompatibility and immunogenetics)",44,56000
14,1014,Bridget,Nash,Female,mercedes44@example.com,(216)627-8359,6/28/2004,Social worker,46,59000
15,1015,Crystal,Farmer,Male,pmiranda@example.org,-5791,3/9/1992,Agricultural consultant,48,62000
16,1016,Thomas,Knight,Female,braunpriscilla@example.net,-2005,2/18/2006,Sport and exercise psychologist,50,65000
17,1017,Maurice,Rangel,Male,sheenabanks@example.com,(246)187-4969,8/20/2004,Secretary/administrator,52,68000
18,1018,Frank,Meadows,Male,gbrewer@example.org,429.965.3902x4447,9/16/2008,Audiological scientist,54,71000
19,1019,Alvin,Paul,Male,gilbertdonaldson@example.com,219.436.0887x07551,5/12/1949,"Teacher, adult education",56,74000
20,1020,Jared,Mitchell,Female,jcortez@example.com,-8587,1/18/1921,Paediatric nurse,58,77000
21,1021,Jacqueline,Norton,Female,carias@example.net,819.309.7679x59173,10/9/1952,"Scientist, marine",60,80000
22,1022,Colleen,Hatfield,Female,fknox@example.org,638.584.1090,10/14/1949,Commercial horticulturist,,83000
23,1023,Randy,Barnes,Male,,001-960-629-7164x67214,12/30/1947,Outdoor activities/education manager,64,86000
24,1024,Janice,Rhodes,Female,juarezdominique@example.net,001-249-314-9742x6996,11/1/1999,Drilling engineer,66,89000
25,1025,Alfred,Mcneil,Female,cassandramorris@example.com,(468)276-9509x53058,5/28/1993,Systems analyst,68,92000
26,1026,Sean,Levine,Male,sallymiller@example.net,4915828504,10/9/2010,"Conservation officer, nature",70,95000
27,1027,Louis,Payne,Male,bsullivan@example.net,6232695307,1/29/1916,Counsellor,72,98000
28,1028,Brittney,Vega,Female,ayalajose@example.net,945-739-8686,10/31/1932,Recycling officer,74,101000
29,1029,Judy,Buckley,Male,irosales@example.net,001-654-208-1241x52830,7/28/1963,Art gallery manager,76,104000
30,1030,Norman,Weber,Male,mconrad@example.com,223.002.0429,5/21/1957,Gaffer,78,107000
31,1031,Isaiah,Camacho,Female,jimblake@example.org,001-536-544-3367,4/7/1966,Food technologist,80,110000
32,1032,Jacqueline,Gallagher,Male,,(247)762-8934,2/25/1999,Building services engineer,82,113000
33,1033,Bonnie,Andrews,Female,caitlin24@example.net,+1-253-987-2776x9161,12/21/1953,Seismic interpreter,84,116000
34,1034,Brandon,Schmidt,Female,mconley@example.net,+1-386-673-1465x006,5/12/1931,"Engineer, biomedical",86,119000
35,1035,Jackson,Sparks,Female,reynoldsdarryl@example.net,(137)908-3129x65035,11/18/1980,Set designer,,122000
36,1036,Melody,Cook,Male,jeannovak@example.org,(826)792-7381,6/25/1963,Research scientist (life sciences),22,125000
37,1037,Leonard,Hurst,Male,clinton78@example.org,941-038-0427x38800,3/13/1938,"Accountant, chartered management",24,128000
38,1038,Gene,Rich,Female,luisdeleon@example.org,+1-356-818-6604x89537,8/22/1946,"Surveyor, quantity",26,131000
39,1039,Cynthia,Wiggins,Female,rosariodave@example.org,(110)858-2437x70190,1/27/1984,Outdoor activities/education manager,28,134000
40,1040,Tanya,Mckinney,Female,vickihouston@example.com,(830)774-9002x086,3/12/2003,Information systems manager,30,137000
